"Mineral Name","Mineral Name (plain)","RRUFF Chemistry (plain)","IMA Chemistry (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","Year First Published","Crystal Systems","Space Groups","Oldest Known Age (Ma)","IMA Mineral Symbol","Paragenetic Modes"
"Sacrofanite","Sacrofanite","(Na61K19Ca32)(Si84Al84O336)(S6+O4)26Cl2F6·2H2O","(Na61K19Ca32)Σ=112(Si84Al84O336)(SO4)26Cl2F6·2H2O","(Na_61_K_19_Ca_32_)(Si_84_Al_84_O_336_)(S^6+^O_4_)_26_Cl_2_F_6_·2H_2_O","(Na_61_K_19_Ca_32_)_Σ=112_(Si_84_Al_84_O_336_)(SO_4_)_26_Cl_2_F_6_·2H_2_O","Na K Ca Si Al O S Cl F H","1979","hexagonal","","381.5","Scf","Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM9 - Lava/xenolith minerals, Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Sadanagaite","Sadanagaite","NaCa2(Mg3Al2)(Si5Al3)O22(OH)2","NaCa2(Mg3Al2)(Si5Al3)O22(OH)2","NaCa_2_(Mg_3_Al_2_)(Si_5_Al_3_)O_22_(OH)_2_","NaCa_2_(Mg_3_Al_2_)(Si_5_Al_3_)O_22_(OH)_2_","Na Ca Mg Al Si O H","2002","monoclinic","C2/m","1022","Sdg","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Saddlebackite","Saddlebackite","Pb2+2Bi3+2Te2-2S2-3","Pb2Bi2Te2S3","Pb^2+^_2_Bi^3+^_2_Te^2-^_2_S^2-^_3_","Pb_2_Bi_2_Te_2_S_3_","Pb Bi Te S","1994","hexagonal","","2724","Sdd","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Safflorite","Safflorite","Co3+(As2)3-","CoAs2","Co^3+^(As_2_)^3-^","CoAs_2_","Co As","1835","orthorhombic","Pnnm","3640","Saf","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Sahamalite-(Ce)","Sahamalite-(Ce)","Ce3+2Mg(CO3)4","Ce2Mg(CO3)4","Ce^3+^_2_Mg(CO_3_)_4_","Ce_2_Mg(CO_3_)_4_","Ce Mg C O","1953","monoclinic","P2_1/a","1412","Shm-Ce","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites"
"Sahlinite","Sahlinite","Pb2+14O9(As5+O4)2Cl4","Pb14O9(AsO4)2Cl4","Pb^2+^_14_O_9_(As^5+^O_4_)_2_Cl_4_","Pb_14_O_9_(AsO_4_)_2_Cl_4_","Pb O As Cl","1934","monoclinic","C2/c","1898","Sah","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Sailaufite","Sailaufite","(Ca,Na,[box])2Mn3+3O2(As5+O4)2CO3·3H2O","(Ca,Na,[box])2Mn3+3O2(AsO4)2(CO3)·3H2O","(Ca,Na,[box])_2_Mn^3+^_3_O_2_(As^5+^O_4_)_2_CO_3_·3H_2_O","(Ca,Na,[box])_2_Mn^3+^_3_O_2_(AsO_4_)_2_(CO_3_)·3H_2_O","Ca Na Mn O As C H","2000","monoclinic","Cm","161","Slf","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Sainfeldite","Sainfeldite","Ca5(As5+O4)2(As5+O3OH)2·4H2O","Ca5(AsO4)2(AsO3OH)2·4H2O","Ca_5_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·4H_2_O","Ca_5_(AsO_4_)_2_(AsO_3_OH)_2_·4H_2_O","Ca As O H","1963","monoclinic","C2/c","1060","Sai","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals"
"Sakhaite","Sakhaite","Ca48Mg16(BO3)32(CO3)16·2(H2O,HCl)","Ca48Mg16(BO3)32(CO3)16·2(H2O,HCl)","Ca_48_Mg_16_(BO_3_)_32_(CO_3_)_16_·2(H_2_O,HCl)","Ca_48_Mg_16_(BO_3_)_32_(CO_3_)_16_·2(H_2_O,HCl)","Ca Mg B O C H Cl","1965","cubic","Fd3m|F4_132","601","Skh","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
"Sakuraiite","Sakuraiite","(Cu1+,Cu2+,Zn2+,Fe2+)3(In3+,Sn4+)S2-4","(Cu,Zn,Fe)3(In,Sn)S4","(Cu^1+^,Cu^2+^,Zn^2+^,Fe^2+^)_3_(In^3+^,Sn^4+^)S^2-^_4_","(Cu,Zn,Fe)_3_(In,Sn)S_4_","Cu Zn Fe In Sn S","1965","cubic|tetragonal","","370","Sak","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Salammoniac","Salammoniac","N3-H4Cl","(NH4)Cl","N^3-^H_4_Cl","(NH_4_)Cl","N H Cl","1556","cubic","Pm-3m","411","Sam","Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, PM52 - Guano- and urine-derived minerals, PM53 - Other minerals with taphonomic origins, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Saléeite","Saleeite","Mg(U6+O2)2(PO4)2·10H2O","Mg(UO2)2(PO4)2(H2O)10","Mg(U^6+^O_2_)_2_(PO_4_)_2_·10H_2_O","Mg(UO_2_)_2_(PO_4_)_2_(H_2_O)_10_","Mg U O P H","1932","monoclinic","P2_1/c|P2_1/n","1800","Slé","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Salesite","Salesite","Cu2+(I5+O3)(OH)","Cu(IO3)(OH)","Cu^2+^(I^5+^O_3_)(OH)","Cu(IO_3_)(OH)","Cu I O H","1939","orthorhombic","Pnma","35","Sls","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Saliotite","Saliotite","(Li,Na)Al3(Si3Al)O10(OH)5","(Li,Na)Al3(Si3Al)O10(OH)5","(Li,Na)Al_3_(Si_3_Al)O_10_(OH)_5_","(Li,Na)Al_3_(Si_3_Al)O_10_(OH)_5_","Li Na Al Si O H","1990","monoclinic","C2/m","21.9","Sal","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Saltonseaite","Saltonseaite","K3NaMn2+Cl6","K3NaMnCl6","K_3_NaMn^2+^Cl_6_","K_3_NaMnCl_6_","K Na Mn Cl","2011","hexagonal","R-3c","3.6E-5","Sts","Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Salzburgite","Salzburgite","Cu1+1.6Pb2+1.6Bi3+6.4S2-12","Cu1.6Pb1.6Bi6.4S12","Cu^1+^_1.6_Pb^2+^_1.6_Bi^3+^_6.4_S^2-^_12_","Cu_1.6_Pb_1.6_Bi_6.4_S_12_","Cu Pb Bi S","2000","orthorhombic","Pmcn","599","Szb","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Samaniite","Samaniite","Cu1+2Fe2+5Ni2+2S2-8","Cu2Fe5Ni2S8","Cu^1+^_2_Fe^2+^_5_Ni^2+^_2_S^2-^_8_","Cu_2_Fe_5_Ni_2_S_8_","Cu Fe Ni S","2007","tetragonal","P4_2/mnm","","Smn","Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits"
"Samarskite-(Y)","Samarskite-(Y)","YFe3+Nb5+2O8","YFe3+Nb2O8","YFe^3+^Nb^5+^_2_O_8_","YFe^3+^Nb_2_O_8_","Y Fe Nb O","1847","monoclinic","P2/c","2605","Smk-Y","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Samarskite-(Yb)","Samarskite-(Yb)","YbNb5+O4","YbNbO4","YbNb^5+^O_4_","YbNbO_4_","Yb Nb O","2004","monoclinic","","1079","Smk-Yb","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Samfowlerite","Samfowlerite","Ca14Mn2+3Zn2+2Be2Be6Si14O52(OH)6","Ca14Mn2+3Zn2Be2Be6Si14O52(OH)6","Ca_14_Mn^2+^_3_Zn^2+^_2_Be_2_Be_6_Si_14_O_52_(OH)_6_","Ca_14_Mn^2+^_3_Zn_2_Be_2_Be_6_Si_14_O_52_(OH)_6_","Ca Mn Zn Be Si O H","1991","monoclinic","P2_1/c","940","Sfw","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Sampleite","Sampleite","NaCaCu2+5(PO4)4Cl·5H2O","NaCaCu5(PO4)4Cl·5H2O","NaCaCu^2+^_5_(PO_4_)_4_Cl·5H_2_O","NaCaCu_5_(PO_4_)_4_Cl·5H_2_O","Na Ca Cu P O Cl H","1942","monoclinic|unknown","P2_1/n|P2_1/c","3110","Smp","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals"
"Samraite","Samraite","Ni2+2P2O7","Ni2P2O7","Ni^2+^_2_P_2_O_7_","Ni_2_P_2_O_7_","Ni P O","2021","monoclinic","P2_1/c","","Samr","Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
"Samsonite","Samsonite","Ag1+4Mn2+Sb3+2S2-6","Ag4MnSb2S6","Ag^1+^_4_Mn^2+^Sb^3+^_2_S^2-^_6_","Ag_4_MnSb_2_S_6_","Ag Mn Sb S","1910","monoclinic","P2_1/n","2211","Ssn","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Samuelsonite","Samuelsonite","Ca9Mn2+4Al2(PO4)10(OH)2","Ca9Mn2+4Al2(PO4)10(OH)2","Ca_9_Mn^2+^_4_Al_2_(PO_4_)_10_(OH)_2_","Ca_9_Mn^2+^_4_Al_2_(PO_4_)_10_(OH)_2_","Ca Mn Al P O H","1974","monoclinic","C2/m","950","Sms","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration"
"Sanbornite","Sanbornite","BaSi2O5","BaSi2O5","BaSi_2_O_5_","BaSi_2_O_5_","Ba Si O","1932","orthorhombic","Pcmn","542","Sabn","Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Sanderite","Sanderite","MgS6+O4·2H2O","Mg(SO4)·2H2O","MgS^6+^O_4_·2H_2_O","Mg(SO_4_)·2H_2_O","Mg S O H","1952","orthorhombic","P2_12_12_1","470","Sdr","Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM17 - Marine authigenic Hadean minerals, Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Saneroite","Saneroite","NaMn2+5[Si5O14(OH)](V5+O3)(OH)","NaMn2+5[Si5O14(OH)](VO3)(OH)","NaMn^2+^_5_[Si_5_O_14_(OH)](V^5+^O_3_)(OH)","NaMn^2+^_5_[Si_5_O_14_(OH)](VO_3_)(OH)","Na Mn Si O H V","1979","triclinic","P-1","100","Snr","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Sangenaroite","Sangenaroite","Ag8(Sb8-xAsx)S16 (0 < x < 2)","Ag8(Sb8-xAsx)S16 (0 < x < 2)","Ag_8_(Sb_8-x_As_x_)S_16_ (0 < x < 2)","Ag_8_(Sb_8-x_As_x_)S_16_ (0 < x < 2)","Ag Sb As S","2019","monoclinic","P2_1/n","","Sgar","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Sanguite","Sanguite","KCu2+Cl3","KCuCl3","KCu^2+^Cl_3_","KCuCl_3_","K Cu Cl","2013","monoclinic","P2_1/c","3.6E-5","Sgu","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Sanidine","Sanidine","KAlSi3O8","K(AlSi3O8)","KAlSi_3_O_8_","K(AlSi_3_O_8_)","K Al Si O","1808","monoclinic","C2/m","3131.13","Sa","Abiotic, Biotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, Stage 3a: Earth's earliest Hadean crust, PM8 - Mafic igneous rocks, PM9 - Lava/xenolith minerals, PM10 - Basalt-hosted zeolite minerals, Stage 4a: Earth's earliest continental crust, PM19 - Granitic intrusive rocks, PM20 - Acidic volcanic rocks, PM24 - Authigenic minerals in terrestrial sediments, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, PM36 - Carbonatites & kimberlites, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Sanjuanite","Sanjuanite","Al2(PO4)(S6+O4)(OH)·9H2O","Al2(PO4)(SO4)(OH)·9H2O","Al_2_(PO_4_)(S^6+^O_4_)(OH)·9H_2_O","Al_2_(PO_4_)(SO_4_)(OH)·9H_2_O","Al P O S H","1966","monoclinic","P2_1/n","","Sjn","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Sanmartinite","Sanmartinite","Zn2+W6+O4","Zn(WO4)","Zn^2+^W^6+^O_4_","Zn(WO_4_)","Zn W O","1948","monoclinic|triclinic","P-1|P2/c","","Sma","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Sanrománite","Sanromanite","Na2CaPb2+3(CO3)5","Na2CaPb3(CO3)5","Na_2_CaPb^2+^_3_(CO_3_)_5_","Na_2_CaPb_3_(CO_3_)_5_","Na Ca Pb C O","2006","hexagonal","P6_3mc","252","Srm","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Santabarbaraite","Santabarbaraite","Fe3+3(PO4)2(OH)3·5H2O","Fe3+3(PO4)2(OH)3·5H2O","Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O","Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O","Fe P O H","2000","amorphous","","561","Sbb","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Santaclaraite","Santaclaraite","CaMn2+4Si5O14(OH)2·H2O","CaMn2+4Si5O14(OH)2·H2O","CaMn^2+^_4_Si_5_O_14_(OH)_2_·H_2_O","CaMn^2+^_4_Si_5_O_14_(OH)_2_·H_2_O","Ca Mn Si O H","1979","triclinic","I-1","","Scl","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Santafeite","Santafeite","(Ca,Sr,Na)3(Mn2+,Fe3+)2Mn4+2(V5+O4)4(OH,O)5·2H2O","(Ca,Sr,Na)3(Mn2+,Fe3+)2Mn4+2(VO4)4(OH,O)5·2H2O","(Ca,Sr,Na)_3_(Mn^2+^,Fe^3+^)_2_Mn^4+^_2_(V^5+^O_4_)_4_(OH,O)_5_·2H_2_O","(Ca,Sr,Na)_3_(Mn^2+^,Fe^3+^)_2_Mn^4+^_2_(VO_4_)_4_(OH,O)_5_·2H_2_O","Ca Sr Na Mn Fe V O H","1958","orthorhombic","","260","Sfe","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Santanaite","Santanaite","Pb2+9Pb4+2Cr6+O16","Pb11CrO16","Pb^2+^_9_Pb^4+^_2_Cr^6+^O_16_","Pb_11_CrO_16_","Pb Cr O","1971","hexagonal","P6_322","64","San","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Santarosaite","Santarosaite","Cu2+B2O4","CuB2O4","Cu^2+^B_2_O_4_","CuB_2_O_4_","Cu B O","2007","tetragonal","I-42d","174","Srs","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Santite","Santite","KB5O6(OH)4·2H2O","KB5O6(OH)4·2H2O","KB_5_O_6_(OH)_4_·2H_2_O","KB_5_O_6_(OH)_4_·2H_2_O","K B O H","1969","orthorhombic","Aba2","3","Snt","Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Saponite","Saponite","(Ca,Na)0.3(Mg,Fe2+)3(Si,Al)4O10(OH)2·4H2O","(Ca,Na)0.3(Mg,Fe)3(Si,Al)4O10(OH)2·4H2O","(Ca,Na)_0.3_(Mg,Fe^2+^)_3_(Si,Al)_4_O_10_(OH)_2_·4H_2_O","(Ca,Na)_0.3_(Mg,Fe)_3_(Si,Al)_4_O_10_(OH)_2_·4H_2_O","Ca Na Mg Fe Si Al O H","1840","","","3200","Sap","Abiotic, Biotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, PM16 - Low-T aqueous alteration, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Sapozhnikovite","Sapozhnikovite","Na8(Al6Si6O24)(HS2-)2","Na8(Al6Si6O24)(HS)2","Na_8_(Al_6_Si_6_O_24_)(HS^2-^)_2_","Na_8_(Al_6_Si_6_O_24_)(HS)_2_","Na Al Si O H S","2021","cubic","P-43n","","Spz","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Sapphirine","Sapphirine","Mg4(Mg3Al9)O4[Si3Al9O36]","Mg4(Mg3Al9)O4[Si3Al9O36]","Mg_4_(Mg_3_Al_9_)O_4_[Si_3_Al_9_O_36_]","Mg_4_(Mg_3_Al_9_)O_4_[Si_3_Al_9_O_36_]","Mg Al O Si","1819","monoclinic|triclinic","P-1|P2_1/a","2500","Spr","Abiotic, Biotic, Primary, Secondary; Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals"
"Sarabauite","Sarabauite","CaSb3+10O10S2-6","Sb4S6·CaSb6O10","CaSb^3+^_10_O_10_S^2-^_6_","Sb_4_S_6_·CaSb_6_O_10_","Sb S Ca O","1976","monoclinic","C2/c","","Sbu","Abiotic, Secondary; Stage 7: Great Oxidation Event, PM46 - Near-surface hydrothermal alterations"
"Saranchinaite","Saranchinaite","Na2Cu2+(S6+O4)2","Na2Cu(SO4)2","Na_2_Cu^2+^(S^6+^O_4_)_2_","Na_2_Cu(SO_4_)_2_","Na Cu S O","2015","monoclinic","P2_1","3.6E-5","Src","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Saranovskite","Saranovskite","SrCaFe2+ 2(Cr3+4Ti4+2)Ti4+12O38","SrCaFe2+ 2(Cr4Ti2)Ti12O38","SrCaFe^2+^_ 2_(Cr^3+^_4_Ti^4+^_2_)Ti^4+^_12_O_38_","SrCaFe^2+^_ 2_(Cr_4_Ti_2_)Ti_12_O_38_","Sr Ca Fe Cr Ti O","2020","hexagonal","R-3","","Svs","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks"
"Sarcolite","Sarcolite","Na4Ca12Al8Si12O46(SiO4,PO4)(OH,H2O)4(CO3,Cl)","Na4Ca12Al8Si12O46(SiO4,PO4)(OH,H2O)4(CO3,Cl)","Na_4_Ca_12_Al_8_Si_12_O_46_(SiO_4_,PO_4_)(OH,H_2_O)_4_(CO_3_,Cl)","Na_4_Ca_12_Al_8_Si_12_O_46_(SiO_4_,PO_4_)(OH,H_2_O)_4_(CO_3_,Cl)","Na Ca Al Si O P H C Cl","1807","tetragonal","I4/m","281","Sco","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Sarcopside","Sarcopside","Fe2+3[box](PO4)2","Fe2+3(PO4)2","Fe^2+^_3_[box](PO_4_)_2_","Fe^2+^_3_(PO_4_)_2_","Fe P O","1868","monoclinic","P2_1/a","1925","Sar","Abiotic, Biotic, Primary, Secondary; Stage 2: Planetesimal differentiation & alteration, PM5 - Primary asteroid phases, PM6 - Secondary asteroid phases, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Sardashtite","Sardashtite","Ag1+9Cu1+2.5Pb2+41Sb3+36.5As3+7S2-112","Ag9Cu2.5Pb41Sb36.5As7S112","Ag^1+^_9_Cu^1+^_2.5_Pb^2+^_41_Sb^3+^_36.5_As^3+^_7_S^2-^_112_","Ag_9_Cu_2.5_Pb_41_Sb_36.5_As_7_S_112_","Ag Cu Pb Sb As S","2023","monoclinic","P2_1/n","","Sard",""
"Sardignaite","Sardignaite","Bi3+Mo6+2O7(OH)·2H2O","BiMo2O7(OH)·2H2O","Bi^3+^Mo^6+^_2_O_7_(OH)·2H_2_O","BiMo_2_O_7_(OH)·2H_2_O","Bi Mo O H","2008","monoclinic","P2_1/m","599","Sdi","Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Sarkinite","Sarkinite","Mn2+2As5+O4(OH)","Mn2+2(AsO4)(OH)","Mn^2+^_2_As^5+^O_4_(OH)","Mn^2+^_2_(AsO_4_)(OH)","Mn As O H","1885","monoclinic","P2_1/a","2000","Srk","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism"
"Sarmientite","Sarmientite","Fe3+2(As5+O4)(S6+O4)(OH)·5H2O","Fe3+2(AsO4)(SO4)(OH)·5H2O","Fe^3+^_2_(As^5+^O_4_)(S^6+^O_4_)(OH)·5H_2_O","Fe^3+^_2_(AsO_4_)(SO_4_)(OH)·5H_2_O","Fe As O S H","1941","monoclinic","P2_1/c|P2_1/n","470","Smi","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Sarrabusite","Sarrabusite","Pb2+5Cu2+(Se4+O3)4Cl4","Pb5CuCl4(SeO3)4","Pb^2+^_5_Cu^2+^(Se^4+^O_3_)_4_Cl_4_","Pb_5_CuCl_4_(SeO_3_)_4_","Pb Cu Cl Se O","1997","monoclinic","C2/c","","Sbs","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Sarrochite","Sarrochite","[Ca4(H2O)38][Mo6+8P2Fe3+3O37(OH)]","[Ca4(H2O)38][Mo8P2Fe3+3O37(OH)]","[Ca_4_(H_2_O)_38_][Mo^6+^_8_P_2_Fe^3+^_3_O_37_(OH)]","[Ca_4_(H_2_O)_38_][Mo_8_P_2_Fe^3+^_3_O_37_(OH)]","Ca H O Mo P Fe","2022","hexagonal","P-3m1","","Sarr","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Sartorite","Sartorite","Pb2+As3+2S2-4","PbAs2S4","Pb^2+^As^3+^_2_S^2-^_4_","PbAs_2_S_4_","Pb As S","1868","monoclinic","P2_1/c","260","Sat","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Sarvodaite","Sarvodaite","Al2(S6+O4)3·5H2O","Al2(SO4)3·5H2O","Al_2_(S^6+^O_4_)_3_·5H_2_O","Al_2_(SO_4_)_3_·5H_2_O","Al S O H","2023","monoclinic","P2_1/n","","Svd",""
"Saryarkite-(Y)","Saryarkite-(Y)","Ca(Y,Th4+)Al5(SiO4)2(PO4)2(OH)7·6H2O","Ca(Y,Th)Al5(SiO4)2(PO4)2(OH)7·6H2O","Ca(Y,Th^4+^)Al_5_(SiO_4_)_2_(PO_4_)_2_(OH)_7_·6H_2_O","Ca(Y,Th)Al_5_(SiO_4_)_2_(PO_4_)_2_(OH)_7_·6H_2_O","Ca Y Th Al Si O P H","1964","tetragonal","","","Syk-Y","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration"
"Sasaite","Sasaite","Al6(PO4)5(OH)3·36H2O","Al6(PO4)5(OH)3·36H2O","Al_6_(PO_4_)_5_(OH)_3_·36H_2_O","Al_6_(PO_4_)_5_(OH)_3_·36H_2_O","Al P O H","1977","orthorhombic","","3110","Sas","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM52 - Guano- and urine-derived minerals"
"Sassite","Sassite","Ti3+2Ti4+O5","Ti3+2Ti4+O5","Ti^3+^_2_Ti^4+^O_5_","Ti^3+^_2_Ti^4+^O_5_","Ti O","2022","orthorhombic","Cmcm","","Ssi","Abiotic, Primary; Stage 1: Primary nebular phases, PM3 - Solar nebular condensates"
"Sassolite","Sassolite","B(OH)3","B(OH)3","B(OH)_3_","B(OH)_3_","B O H","1800","triclinic","P-1","1795","Sso","Abiotic, Biotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals, PM57 - Other minerals formed by human processes"
